region,country
Anglo,Australia
Anglo,Canada
Anglo,Ireland
Anglo,New Zealand
Anglo,United Kingdom
Anglo,United States
Latin Europe,France
Latin Europe,Israel
Latin Europe,Italy
Latin Europe,Malta
Latin Europe,Moldova
Latin Europe,Portugal
Latin Europe,Spain
Germanic Europe,Austria
Germanic Europe,Belgium
Germanic Europe,Germany
Germanic Europe,Luxembourg
Germanic Europe,Netherlands
Germanic Europe,Switzerland
Nordic Europe,Denmark
Nordic Europe,Estonia
Nordic Europe,Finland
Nordic Europe,Iceland
Nordic Europe,Latvia
Nordic Europe,Lithuania
Nordic Europe,Norway
Nordic Europe,Sweden
Eastern Europe,Albania
Eastern Europe,Armenia
Eastern Europe,Belarus
Eastern Europe,Bosnia and Herzegovina
Eastern Europe,Bulgaria
Eastern Europe,Croatia
Eastern Europe,Cyprus
Eastern Europe,Czech Republic
Eastern Europe,Georgia
Eastern Europe,Greece
Eastern Europe,Hungary
Eastern Europe,Kazakhstan
Eastern Europe,Kosovo
Eastern Europe,Kyrgyzstan
Eastern Europe,Macedonia
Eastern Europe,Montenegro
Eastern Europe,Northern Cyprus
Eastern Europe,Poland
Eastern Europe,Romania*
Eastern Europe,Russia
Eastern Europe,Serbia
Eastern Europe,Slovakia
Eastern Europe,Slovenia
Eastern Europe,Ukraine
Confucian Asia,China
Confucian Asia,Hong Kong
Confucian Asia,Japan
Confucian Asia,Mongolia
Confucian Asia,Singapore
Confucian Asia,South Korea
Confucian Asia,Taiwan
Confucian Asia,Vietnam
Latin America,Argentina
Latin America,Belize*
Latin America,Bolivia
Latin America,Brazil
Latin America,Chile
Latin America,Colombia
Latin America,Costa Rica
Latin America,Cuba
Latin America,Dominican Republic
Latin America,Ecuador
Latin America,El Salvador
Latin America,Guatemala
Latin America,Guyana*
Latin America,Haiti*
Latin America,Honduras
Latin America,Jamaica*
Latin America,Mexico
Latin America,Nicaragua
Latin America,Panama
Latin America,Paraguay
Latin America,Peru
Latin America,Puerto Rico
Latin America,Suriname*
Latin America,Trinidad & Tobago*
Latin America,Uruguay
Latin America,Venezuela
Southern Asia,Afghanistan
Southern Asia,Bangladesh
Southern Asia,Bhutan
Southern Asia,Cambodia
Southern Asia,India
Southern Asia,Indonesia
Southern Asia,Laos
Southern Asia,Malaysia
Southern Asia,Myanmar
Southern Asia,Nepal
Southern Asia,Pakistan
Southern Asia,Philippines
Southern Asia,Sri Lanka
Southern Asia,Tajikistan
Southern Asia,Thailand
Arab,Algeria
Arab,Azerbaijan
Arab,Bahrain
Arab,Egypt
Arab,Iran*
Arab,Iraq
Arab,Jordan
Arab,Kuwait
Arab,Lebanon
Arab,Libya
Arab,Morocco
Arab,Nagorno-Karabakh Republic
Arab,Oman
Arab,Palestinian Territories
Arab,Qatar
Arab,Saudi Arabia
Arab,Syria
Arab,Tunisia
Arab,Turkey
Arab,Turkmenistan
Arab,United Arab Emirates
Arab,Uzbekistan
Arab,Yemen
Sub-Sahara Africa,Angola
Sub-Sahara Africa,Benin
Sub-Sahara Africa,Botswana
Sub-Sahara Africa,Burkina Faso
Sub-Sahara Africa,Burundi
Sub-Sahara Africa,Cameroon
Sub-Sahara Africa,Central African Republic
Sub-Sahara Africa,Chad
Sub-Sahara Africa,Comoros
Sub-Sahara Africa,Democratic Republic of Congo
Sub-Sahara Africa,Congo
Sub-Sahara Africa,Cote d’Ivoire
Sub-Sahara Africa,Djibouti
Sub-Sahara Africa,Ethiopia
Sub-Sahara Africa,Gabon
Sub-Sahara Africa,Ghana
Sub-Sahara Africa,Guinea
Sub-Sahara Africa,Kenya
Sub-Sahara Africa,Lesotho
Sub-Sahara Africa,Liberia
Sub-Sahara Africa,Madagascar
Sub-Sahara Africa,Malawi
Sub-Sahara Africa,Mali
Sub-Sahara Africa,Mauritania*
Sub-Sahara Africa,Mauritius*
Sub-Sahara Africa,Mozambique
Sub-Sahara Africa,Namibia
Sub-Sahara Africa,Niger
Sub-Sahara Africa,Nigeria
Sub-Sahara Africa,Rwanda
Sub-Sahara Africa,Senegal
Sub-Sahara Africa,Sierra Leone
Sub-Sahara Africa,Somalia
Sub-Sahara Africa,Somaliland region
Sub-Sahara Africa,South Africa
Sub-Sahara Africa,South Sudan
Sub-Sahara Africa,Sudan*
Sub-Sahara Africa,Swaziland
Sub-Sahara Africa,(Eswatini)
Sub-Sahara Africa,Tanzania
Sub-Sahara Africa,Togo
Sub-Sahara Africa,Uganda
Sub-Sahara Africa,Zambia
Sub-Sahara Africa,Zimbabwe
